Username,Tanggal,Bintang,Komentar,Komentar_Cleaned,Komentar_Tokenized,Label,Prediksi_NaiveBayes,Prediksi_SVM,Prediksi_KNN
Nayasa Rumah Gadang,4/22/2024,1,"Barusan aja ada gempa, eh ga ada notifikasi. Sekarang udah 10 menit pasca gempa, di aplikasi sama sekali ga kelihatan. Jadi aplikasi ini buat apa? Tutup aja servernya sekalian.",barusan aja ada gempa eh ga ada notifikasi sekarang udah menit pasca gempa aplikasi sama sekali ga lihat jadi aplikasi buat apa tutup aja servernya sekali,"['barusan', 'aja', 'ada', 'gempa', 'eh', 'ga', 'ada', 'notifikasi', 'sekarang', 'udah', 'menit', 'pasca', 'gempa', 'aplikasi', 'sama', 'sekali', 'ga', 'lihat', 'jadi', 'aplikasi', 'buat', 'apa', 'tutup', 'aja', 'servernya', 'sekali']",negatif,negatif,negatif,positif
Roy Gombong,1/2/2023,5,𝙄𝙣𝙛𝙤,positif,[],positif,positif,netral,positif
Muhammad Mulyadi,1/2/2023,5,Sangat membantu,sangat bantu,"['sangat', 'bantu']",positif,positif,negatif,negatif
Braja New,1/4/2023,4,Menyanangkan,menyanangkan,['menyanangkan'],positif,positif,positif,positif
Nur Muhammad Syafei,2/9/2023,2,"UI boros, font besar² tidak bisa di setting.",ui boros font besar tidak bisa setting,"['ui', 'boros', 'font', 'besar', 'tidak', 'bisa', 'setting']",negatif,netral,netral,positif
Syamsul Marlin,11/11/2023,5,Sangat membantu,sangat bantu,"['sangat', 'bantu']",positif,positif,positif,positif
anna rosmarini,12/16/2024,5,"Bagus dan akurat 100% dlm mendeteksi cuaca,tapi Informasi nya sedikit lbih lama",bagus akurat dlm deteksi cuacatapi informasi nya sedikit lbih lama,"['bagus', 'akurat', 'dlm', 'deteksi', 'cuacatapi', 'informasi', 'nya', 'sedikit', 'lbih', 'lama']",positif,positif,positif,positif
i FIQRI,11/25/2022,2,Sering error gabisa dibuka hadehhh,sering error gabisa buka hadehhh,"['sering', 'error', 'gabisa', 'buka', 'hadehhh']",negatif,negatif,positif,positif
Oke ko,2/12/2025,5,Sangat bermanfaat apalagi sekarang cuaca dan keadaan alam gak menentu jadi bisa sebagai referensi,sangat manfaat apalagi sekarang cuaca ada alam gak tentu jadi bisa bagai referensi,"['sangat', 'manfaat', 'apalagi', 'sekarang', 'cuaca', 'ada', 'alam', 'gak', 'tentu', 'jadi', 'bisa', 'bagai', 'referensi']",positif,positif,positif,positif
Maya Syafa.P,12/30/2024,2,"Tidak lengkap, kalau mau ngecek potensi2 seperti banjir harus bentuk link lain lagi",tidak lengkap kalau mau ngecek potensi seperti banjir harus bentuk link lain lagi,"['tidak', 'lengkap', 'kalau', 'mau', 'ngecek', 'potensi', 'seperti', 'banjir', 'harus', 'bentuk', 'link', 'lain', 'lagi']",negatif,positif,positif,positif
N Rahmaw,4/27/2024,5,Pemberitahuan tergolong cepat,pemberitahuan golong cepat,"['pemberitahuan', 'golong', 'cepat']",positif,positif,positif,positif
Samsul Made,4/30/2023,4,"Masih agak lambat update info gempanya, saya cek gempa yg terjadi di lokasi saya selisih waktu 15-20 menit baru muncul data.",masih agak lambat update info gempa saya cek gempa yg jadi lokasi saya selisih waktu menit baru muncul data,"['masih', 'agak', 'lambat', 'update', 'info', 'gempa', 'saya', 'cek', 'gempa', 'yg', 'jadi', 'lokasi', 'saya', 'selisih', 'waktu', 'menit', 'baru', 'muncul', 'data']",positif,negatif,positif,positif
suksma sayekto,2/26/2023,5,"Semakin lengkap infonya, lokal maupun global ada, terutama info gempa, semakin banyak tau kebenaran informasinya....👍🏻",makin lengkap info lokal maupun global ada utama info gempa makin banyak tau benar informasi,"['makin', 'lengkap', 'info', 'lokal', 'maupun', 'global', 'ada', 'utama', 'info', 'gempa', 'makin', 'banyak', 'tau', 'benar', 'informasi']",positif,positif,negatif,negatif
Mali44k_,3/22/2024,5,Terimakasih atas 🙏🙏🙏🙏 membantu 😭,terimakasih atas bantu,"['terimakasih', 'atas', 'bantu']",positif,positif,positif,positif
Jimmy Cung,5/14/2023,1,"Makin gak jelas app ni, gempa gak muncul. Pas gak gempa masuk notif. Tapi gak bisa di klik. Harus masuk manual, zzzz",makin gak jelas app ni gempa gak muncul pas gak gempa masuk notif tapi gak bisa klik harus masuk manual zzzz,"['makin', 'gak', 'jelas', 'app', 'ni', 'gempa', 'gak', 'muncul', 'pas', 'gak', 'gempa', 'masuk', 'notif', 'tapi', 'gak', 'bisa', 'klik', 'harus', 'masuk', 'manual', 'zzzz']",negatif,negatif,positif,positif
Awang Sinawang,11/2/2023,5,Mantap,mantap,['mantap'],positif,positif,positif,positif
Satrio adi Saputro,9/6/2023,4,"Sayangnya gak ada tinggi gelombang laut ,pasang surut air laut ,tolong di tambah informasi lain seperti di atas agar lengkap",sayang gak ada tinggi gelombang laut pasang surut air laut tolong tambah informasi lain seperti atas agar lengkap,"['sayang', 'gak', 'ada', 'tinggi', 'gelombang', 'laut', 'pasang', 'surut', 'air', 'laut', 'tolong', 'tambah', 'informasi', 'lain', 'seperti', 'atas', 'agar', 'lengkap']",positif,positif,positif,positif
Alip FXG,12/14/2022,2,Abis diupdate kok malah lemot.....buka aplikasi loadingnya lamaaaaaaaa banget,abis diupdate kok malah lemotbuka aplikasi loadingnya lamaaaaaaaa banget,"['abis', 'diupdate', 'kok', 'malah', 'lemotbuka', 'aplikasi', 'loadingnya', 'lamaaaaaaaa', 'banget']",negatif,negatif,positif,positif
Sahid Listrik,12/1/2023,5,Good job! :),good job,"['good', 'job']",positif,positif,negatif,positif
Arifya 72,8/21/2024,5,Apakah aplikasi mempunyai akses super user.. Untuk pemberintahun alarm peringatan,apakah aplikasi punya akses super user pemberintahun alarm ingat,"['apakah', 'aplikasi', 'punya', 'akses', 'super', 'user', 'pemberintahun', 'alarm', 'ingat']",positif,positif,positif,positif
Maya Desvina Putri,9/14/2023,1,Kurang inovasi,kurang inovasi,"['kurang', 'inovasi']",negatif,positif,netral,positif
eko Suzanto,1/12/2023,5,Baik,baik,['baik'],positif,positif,netral,positif
Wiyono Wiyono,12/15/2024,4,Mantaplah dengan info update cuaca,mantap info update cuaca,"['mantap', 'info', 'update', 'cuaca']",positif,positif,positif,positif
Deroy Mandala,12/18/2024,2,Waktu belum di update lokasi ny sesuai tapi kenapa pas di update lokasi ny di gunung Sahari udh di coba ganti pakai GPS dan manual masih aj di gunung Sahari lokasi saya di Sumatra Selatan mohon di perbaiki lagi 🙏🙏🙏,waktu belum update lokasi ny sesuai tapi kenapa pas update lokasi ny gunung sahari udh coba ganti pakai gps manual masih aj gunung sahari lokasi saya sumatra selatan mohon baik lagi,"['waktu', 'belum', 'update', 'lokasi', 'ny', 'sesuai', 'tapi', 'kenapa', 'pas', 'update', 'lokasi', 'ny', 'gunung', 'sahari', 'udh', 'coba', 'ganti', 'pakai', 'gps', 'manual', 'masih', 'aj', 'gunung', 'sahari', 'lokasi', 'saya', 'sumatra', 'selatan', 'mohon', 'baik', 'lagi']",negatif,negatif,positif,positif
Junus DJula,1/11/2023,5,"Cukup informatif, tetap perlu di update terus sesuai kebutuhan Negara Indonesia yg sering dikatakan supermarket bencana, terimakasih.",cukup informatif tetap perlu update terus sesuai butuh negara indonesia yg sering kata supermarket bencana terimakasih,"['cukup', 'informatif', 'tetap', 'perlu', 'update', 'terus', 'sesuai', 'butuh', 'negara', 'indonesia', 'yg', 'sering', 'kata', 'supermarket', 'bencana', 'terimakasih']",positif,positif,positif,positif
Azifa zahra .W,11/22/2022,5,Mantul,mantul,['mantul'],positif,positif,negatif,negatif
SUMARNI 04,1/15/2023,5,Trima kasih bmkg sda menyelamatka kita semuanya sy ber termakasi sebanyak banyaknya,trima kasih bmkg sda menyelamatka kita semua sy ber makas banyak banyak,"['trima', 'kasih', 'bmkg', 'sda', 'menyelamatka', 'kita', 'semua', 'sy', 'ber', 'makas', 'banyak', 'banyak']",positif,positif,positif,positif
Saripudin P,1/11/2023,5,Mantap terimakasih kami bisa mengatur untuk berpergian dgn melihat tinjauan cuaca,mantap terimakasih kami bisa atur pergi dgn lihat tinjau cuaca,"['mantap', 'terimakasih', 'kami', 'bisa', 'atur', 'pergi', 'dgn', 'lihat', 'tinjau', 'cuaca']",positif,positif,negatif,negatif
Farhan Sani,12/3/2022,5,2-3 menit datanya langsung update,menit data langsung update,"['menit', 'data', 'langsung', 'update']",positif,negatif,positif,positif
Ilham Nuriman,12/17/2024,5,Sebelum kerja pasti liat BMKG apalagi kalo lagi musim ujan wakakakak. GO SCIENCE GOOO,belum kerja pasti liat bmkg apalagi kalo lagi musim ujan wakakakak go science gooo,"['belum', 'kerja', 'pasti', 'liat', 'bmkg', 'apalagi', 'kalo', 'lagi', 'musim', 'ujan', 'wakakakak', 'go', 'science', 'gooo']",positif,netral,negatif,negatif
Nabil Algifari,2/6/2023,5,Bagus banget Dan asli,bagus banget asli,"['bagus', 'banget', 'asli']",positif,positif,negatif,positif
Yasaratodo Wau,4/28/2023,5,Bagus,bagus,['bagus'],positif,positif,positif,positif
Akhyar Elfuad,4/28/2023,4,Informasi yang didapat jauh lebih cepat padat tepat akurat.Jadi rujukan tanpa ada kesimpangsiuran.,informasi dapat jauh lebih cepat padat tepat akuratjadi rujuk tanpa ada kesimpangsiuran,"['informasi', 'dapat', 'jauh', 'lebih', 'cepat', 'padat', 'tepat', 'akuratjadi', 'rujuk', 'tanpa', 'ada', 'kesimpangsiuran']",positif,positif,positif,positif
Eris Sulistina,4/22/2023,4,"Akan jauh lebih baik lagi jika memiliki Widget yang dapat disimpan di homescreen, mohon kerjasamanya 🙏",akan jauh lebih baik lagi jika milik widget dapat simpan homescreen mohon kerjasamanya,"['akan', 'jauh', 'lebih', 'baik', 'lagi', 'jika', 'milik', 'widget', 'dapat', 'simpan', 'homescreen', 'mohon', 'kerjasamanya']",positif,positif,positif,positif
SURYA DARMA,7/9/2024,5,Ok,ok,['ok'],positif,positif,positif,positif
Ridwan Hermawan,12/3/2022,3,Cuman saran setelah atAu sebelum kEjadian peringatan Dini update lebih awal.,cuman saran telah atau belum jadi ingat dini update lebih awal,"['cuman', 'saran', 'telah', 'atau', 'belum', 'jadi', 'ingat', 'dini', 'update', 'lebih', 'awal']",netral,positif,positif,positif
rohman Fadhll,7/29/2024,5,Berguna👍👍👍,guna,['guna'],positif,positif,negatif,positif
Raja Bahar,8/24/2024,5,Mantap infox,mantap infox,"['mantap', 'infox']",positif,positif,positif,positif
Reski Febriani,1/12/2023,3,Mantap dan keren,mantap keren,"['mantap', 'keren']",netral,positif,negatif,netral
Irwan Ardiansyah,12/17/2024,3,ada fitur cek pasang surut air sungai/laut terdekat kah min... Mohon infonya..,ada fitur cek pasang surut air sungailaut dekat kah min mohon info,"['ada', 'fitur', 'cek', 'pasang', 'surut', 'air', 'sungailaut', 'dekat', 'kah', 'min', 'mohon', 'info']",netral,positif,negatif,positif
firman syah,12/8/2022,5,top,top,['top'],positif,positif,netral,positif
IRFANUDIN,4/28/2023,5,Karna aplikasi ini sa ngat penting bagi saya...🙏,karna aplikasi sa ngat penting bagi saya,"['karna', 'aplikasi', 'sa', 'ngat', 'penting', 'bagi', 'saya']",positif,positif,negatif,positif
K. SIAGIAN,4/28/2023,4,Akurat,akurat,['akurat'],positif,positif,positif,positif
Putri Dewanata,12/6/2022,1,aneh bagusan yg duluu jd bingung lihatnya,aneh bagus yg duluu jd bingung lihat,"['aneh', 'bagus', 'yg', 'duluu', 'jd', 'bingung', 'lihat']",negatif,positif,positif,positif
EKO YULIANTO (Bpk.NANDA),12/5/2022,5,"Aplikasinya bagus,90% akurat,tapu versi terbaru ini kayaknya asing bagi q.selain teksnya kecil,juga buka aplikasi lama.kalau yg versi lama joss memang.",aplikasi bagus akurattapu versi baru kayak asing bagi qselain teks keciljuga buka aplikasi lamakalau yg versi lama joss memang,"['aplikasi', 'bagus', 'akurattapu', 'versi', 'baru', 'kayak', 'asing', 'bagi', 'qselain', 'teks', 'keciljuga', 'buka', 'aplikasi', 'lamakalau', 'yg', 'versi', 'lama', 'joss', 'memang']",positif,negatif,netral,positif
Guntur Rahayu,6/11/2023,5,Good Job,good job,"['good', 'job']",positif,positif,negatif,negatif
Kyousuke Hasegawa,1/4/2024,1,Aplikasinya selalu error belakangan ini sampai sistem androidnya kasih pilihan tutup aplikasinya. Jadinya gak bisa digunakan dong aplikasinya? Entah developer nya gak digaji atau ganti developer terus sampai aplikasinya error seperti itu. Mana peringatan dini gempanya dari beberapa review yg saya baca datengnya terlambat terus. Semoga ada perbaikan yg signifikan agar aplikasinya berfungsi sesuai yg diharapkan masyarakat terutama peringatan dini gempanya. Sekian dan terima kasih.,aplikasi selalu error belakang sampai sistem androidnya kasih pilih tutup aplikasi jadi gak bisa guna dong aplikasi entah developer nya gak gaji atau ganti developer terus sampai aplikasi error seperti mana ingat dini gempa beberapa review yg saya baca datengnya lambat terus moga ada baik yg signifikan agar aplikasi fungsi sesuai yg harap masyarakat utama ingat dini gempa sekian terima kasih,"['aplikasi', 'selalu', 'error', 'belakang', 'sampai', 'sistem', 'androidnya', 'kasih', 'pilih', 'tutup', 'aplikasi', 'jadi', 'gak', 'bisa', 'guna', 'dong', 'aplikasi', 'entah', 'developer', 'nya', 'gak', 'gaji', 'atau', 'ganti', 'developer', 'terus', 'sampai', 'aplikasi', 'error', 'seperti', 'mana', 'ingat', 'dini', 'gempa', 'beberapa', 'review', 'yg', 'saya', 'baca', 'datengnya', 'lambat', 'terus', 'moga', 'ada', 'baik', 'yg', 'signifikan', 'agar', 'aplikasi', 'fungsi', 'sesuai', 'yg', 'harap', 'masyarakat', 'utama', 'ingat', 'dini', 'gempa', 'sekian', 'terima', 'kasih']",negatif,negatif,netral,netral
LUTHFI MIFTAHUR RAHMAN,12/15/2024,3,Masih kurang desa/kelurahan di gabus Pati Jawa Tengah Indonesia,masih kurang desakelurahan gabus pati jawa tengah indonesia,"['masih', 'kurang', 'desakelurahan', 'gabus', 'pati', 'jawa', 'tengah', 'indonesia']",netral,netral,positif,positif
Qays Ariqin Diavazo,3/29/2023,4,"Bagus, hny knp skrg tidak bisa kirim survey untuk gempa nya ya? Sering eror",bagus hny knp skrg tidak bisa kirim survey gempa nya ya sering eror,"['bagus', 'hny', 'knp', 'skrg', 'tidak', 'bisa', 'kirim', 'survey', 'gempa', 'nya', 'ya', 'sering', 'eror']",positif,netral,negatif,positif
Putri Sari,4/2/2024,3,Hbis upgrade knp mlah g bisa d buka apk nya😢,hbis upgrade knp mlah g bisa d buka apk nya,"['hbis', 'upgrade', 'knp', 'mlah', 'g', 'bisa', 'd', 'buka', 'apk', 'nya']",netral,negatif,negatif,positif
Ari Fanna Nawwirina,12/14/2024,1,Bagus sebelumnya Punya saya tersetting wilayah gunung sahari selatan tidak bisa diubah walaupun gps diaktifkan Maaf saya uninstall,bagus belum punya saya tersetting wilayah gunung sahari selatan tidak bisa ubah walaupun gps aktif maaf saya uninstall,"['bagus', 'belum', 'punya', 'saya', 'tersetting', 'wilayah', 'gunung', 'sahari', 'selatan', 'tidak', 'bisa', 'ubah', 'walaupun', 'gps', 'aktif', 'maaf', 'saya', 'uninstall']",negatif,negatif,netral,positif
Aldisar Maulana_023,3/1/2023,5,Aplikasi nya Bagus Banget Dan Membantu Mengetahui Informasi Bencana Alam Yang Terjadi,aplikasi nya bagus banget bantu tahu informasi bencana alam jadi,"['aplikasi', 'nya', 'bagus', 'banget', 'bantu', 'tahu', 'informasi', 'bencana', 'alam', 'jadi']",positif,positif,negatif,positif
Miracle Kansil,1/31/2025,5,Bagus,bagus,['bagus'],positif,positif,positif,positif
rd herison,8/24/2024,5,Good.................,good,['good'],positif,positif,positif,positif
I KETUT SUKADANA,2/9/2023,2,"Sering dapat notifikasi gempa, tapi notifikasi cuaca gak ada masuk",sering dapat notifikasi gempa tapi notifikasi cuaca gak ada masuk,"['sering', 'dapat', 'notifikasi', 'gempa', 'tapi', 'notifikasi', 'cuaca', 'gak', 'ada', 'masuk']",negatif,negatif,positif,positif
Hasanudin Aan,3/14/2024,5,Info Bmkg tambah wawasan! Kita,info bmkg tambah wawas kita,"['info', 'bmkg', 'tambah', 'wawas', 'kita']",positif,positif,positif,positif
Rell Niyenk,1/3/2023,4,tulasan di peringatan tidak bisa di zoom permanen.,tulasan ingat tidak bisa zoom permanen,"['tulasan', 'ingat', 'tidak', 'bisa', 'zoom', 'permanen']",positif,netral,negatif,negatif
Mustika Gede,9/7/2024,1,Aplikasi tolol gempa besar lambat update,aplikasi tolol gempa besar lambat update,"['aplikasi', 'tolol', 'gempa', 'besar', 'lambat', 'update']",negatif,negatif,positif,positif
Yam Nduk,7/2/2023,5,Uishhhh mengerikan,uishhhh keri,"['uishhhh', 'keri']",positif,positif,netral,negatif
kk cepi,11/26/2022,5,Nice,nice,['nice'],positif,positif,negatif,positif
Alan Herdian,12/23/2022,1,Tampilan barunya kok makn aneh.. mendngan BMKG versi dlu.. ga pake2 animasi langsung buka.. klo skarng jadi lama.. tampilannya jga jadi mkn tmbh kaya bukan aplikasi pro.. kaya buat maen2.. animadi dngn gambar kartoon. Maaps jga msh yg global bukan yg hi-brid..,tampil baru kok makn aneh mendngan bmkg versi dlu ga pake animasi langsung buka klo skarng jadi lama tampil jga jadi mkn tmbh kaya bukan aplikasi pro kaya buat maen animadi dngn gambar kartoon maaps jga msh yg global bukan yg hibrid,"['tampil', 'baru', 'kok', 'makn', 'aneh', 'mendngan', 'bmkg', 'versi', 'dlu', 'ga', 'pake', 'animasi', 'langsung', 'buka', 'klo', 'skarng', 'jadi', 'lama', 'tampil', 'jga', 'jadi', 'mkn', 'tmbh', 'kaya', 'bukan', 'aplikasi', 'pro', 'kaya', 'buat', 'maen', 'animadi', 'dngn', 'gambar', 'kartoon', 'maaps', 'jga', 'msh', 'yg', 'global', 'bukan', 'yg', 'hibrid']",negatif,netral,positif,positif
nafi _,11/24/2022,1,"kenapa sih pas mau buka apk nya malah ngeblank warna putih, ga langsung muncul gitu malah ngeblank mana lama, udah aku ulangi kembali dulu terus buka lagi apk bmkg, tapi tetep aja ngeblank.",kenapa sih pas mau buka apk nya malah ngeblank warna putih ga langsung muncul gitu malah ngeblank mana lama udah aku ulang kembali dulu terus buka lagi apk bmkg tapi tetep aja ngeblank,"['kenapa', 'sih', 'pas', 'mau', 'buka', 'apk', 'nya', 'malah', 'ngeblank', 'warna', 'putih', 'ga', 'langsung', 'muncul', 'gitu', 'malah', 'ngeblank', 'mana', 'lama', 'udah', 'aku', 'ulang', 'kembali', 'dulu', 'terus', 'buka', 'lagi', 'apk', 'bmkg', 'tapi', 'tetep', 'aja', 'ngeblank']",negatif,negatif,negatif,negatif
15 8F Risky pradnya uthama i pt,5/12/2023,5,Bagus,bagus,['bagus'],positif,positif,negatif,negatif
Dimas Abdus Syukur,3/20/2023,5,Wah saya senang sekali karena BMKG sosialisasi ke sekolah saya.,wah saya senang sekali karena bmkg sosialisasi sekolah saya,"['wah', 'saya', 'senang', 'sekali', 'karena', 'bmkg', 'sosialisasi', 'sekolah', 'saya']",positif,positif,positif,positif
Ujang Adi,11/12/2024,5,Mantap,mantap,['mantap'],positif,positif,positif,positif
Netijen Bar bar,12/7/2024,5,Informasinya yang sangat cepat,informasi sangat cepat,"['informasi', 'sangat', 'cepat']",positif,positif,positif,positif
adminrelawan kybar,12/17/2024,3,Di-update malah GPS nya kacau... Aku di Jogja kenaknya di Jakarta Untuk mencari kelurahan tidak ditemukan... Dulu pakai kecamatan malah akurat,diupdate malah gps nya kacau aku jogja nak jakarta cari lurah tidak temu dulu pakai camat malah akurat,"['diupdate', 'malah', 'gps', 'nya', 'kacau', 'aku', 'jogja', 'nak', 'jakarta', 'cari', 'lurah', 'tidak', 'temu', 'dulu', 'pakai', 'camat', 'malah', 'akurat']",netral,negatif,positif,positif
gigih alambara,1/25/2024,5,Best,best,['best'],positif,positif,positif,positif
Budi Classic,11/23/2022,5,"Pray for CIANJUR 5,6 SR 21/11/2022 Pray for INDONESIA",pray for cianjur sr pray for indonesia,"['pray', 'for', 'cianjur', 'sr', 'pray', 'for', 'indonesia']",positif,positif,positif,positif
UWONG NDESO,1/29/2024,5,Luar Biasa,luar biasa,"['luar', 'biasa']",positif,positif,positif,positif
UpNormal Traveller,3/29/2024,2,Aplikasinya sangat membantu tapi terkadang mengalami BUG. Mohon perbaikannya. Terimakasih,aplikasi sangat bantu tapi terkadang alami bug mohon baik terimakasih,"['aplikasi', 'sangat', 'bantu', 'tapi', 'terkadang', 'alami', 'bug', 'mohon', 'baik', 'terimakasih']",negatif,positif,netral,positif
Abdul Muiz,3/14/2024,1,Perkiraan cuacanya tidak berfungsi,kira cuaca tidak fungsi,"['kira', 'cuaca', 'tidak', 'fungsi']",negatif,negatif,positif,positif
Nurfahmi Rahman,11/23/2022,5,Sangat membantu kami mendapat informasi cuaca. Sukses terus bmkg,sangat bantu kami dapat informasi cuaca sukses terus bmkg,"['sangat', 'bantu', 'kami', 'dapat', 'informasi', 'cuaca', 'sukses', 'terus', 'bmkg']",positif,positif,positif,positif
Mardy Yuwono,1/11/2023,5,Tingkatkan lagi realtime nya,tingkat lagi realtime nya,"['tingkat', 'lagi', 'realtime', 'nya']",positif,positif,positif,positif
zoel fikar,1/3/2023,4,"Ada perubahan tampilan, tapi tetap untuk update posisi kota masih belum akurat seperti apk sebelah. Semoga terus membaik. Saya sangat suka fitur peringatan gempa dan cuaca.",ada ubah tampil tapi tetap update posisi kota masih belum akurat seperti apk belah moga terus baik saya sangat suka fitur ingat gempa cuaca,"['ada', 'ubah', 'tampil', 'tapi', 'tetap', 'update', 'posisi', 'kota', 'masih', 'belum', 'akurat', 'seperti', 'apk', 'belah', 'moga', 'terus', 'baik', 'saya', 'sangat', 'suka', 'fitur', 'ingat', 'gempa', 'cuaca']",positif,positif,positif,positif
chanel 75,11/21/2022,4,Sangat membantu untuk siap siaga selalu.,sangat bantu siap siaga selalu,"['sangat', 'bantu', 'siap', 'siaga', 'selalu']",positif,positif,positif,positif
Sapar Wadi,8/15/2024,1,Kenapa tak bisa digunakan / terpakai,kenapa tak bisa guna pakai,"['kenapa', 'tak', 'bisa', 'guna', 'pakai']",negatif,negatif,negatif,positif
Siti Yani,12/7/2022,3,Dulu di analisis curah hujan bulanan bisa dipencet warnanya dan keluar mm nya kenapa sekarang kok gak bisa?dan kalo bisa tambahin analisis curah hujan harian🙏,dulu analisis curah hujan bulan bisa pencet warna keluar mm nya kenapa sekarang kok gak bisadan kalo bisa tambahin analisis curah hujan hari,"['dulu', 'analisis', 'curah', 'hujan', 'bulan', 'bisa', 'pencet', 'warna', 'keluar', 'mm', 'nya', 'kenapa', 'sekarang', 'kok', 'gak', 'bisadan', 'kalo', 'bisa', 'tambahin', 'analisis', 'curah', 'hujan', 'hari']",netral,negatif,negatif,negatif
wsar14na,12/19/2024,2,"Koq setelah diupdate malah makin jelek, peringatan dini cuaca harus aktifin gps lokasi, padahal sebelumnya tdk bgitu, skrg hanya pringatan tdk update, mlh jarang ada notifikasinya, kcuali gempa",koq telah diupdate malah makin jelek ingat dini cuaca harus aktifin gps lokasi padahal belum tdk bgitu skrg hanya pringatan tdk update mlh jarang ada notifikasi kcuali gempa,"['koq', 'telah', 'diupdate', 'malah', 'makin', 'jelek', 'ingat', 'dini', 'cuaca', 'harus', 'aktifin', 'gps', 'lokasi', 'padahal', 'belum', 'tdk', 'bgitu', 'skrg', 'hanya', 'pringatan', 'tdk', 'update', 'mlh', 'jarang', 'ada', 'notifikasi', 'kcuali', 'gempa']",negatif,negatif,positif,positif
Dwi Nano,1/15/2023,4,Ok,ok,['ok'],positif,positif,negatif,negatif
Ling Ling,12/19/2022,5,"Baru download udh kena gejala titik lokasi yg di atur manual suka bergeser, gps error mental ke mana mana. Itu mic buat apa y binggung gue",baru download udh kena gejala titik lokasi yg atur manual suka geser gps error mental mana mana mic buat apa y binggung gue,"['baru', 'download', 'udh', 'kena', 'gejala', 'titik', 'lokasi', 'yg', 'atur', 'manual', 'suka', 'geser', 'gps', 'error', 'mental', 'mana', 'mana', 'mic', 'buat', 'apa', 'y', 'binggung', 'gue']",positif,negatif,positif,negatif
Baginda harun daulay,10/8/2024,5,mantap,mantap,['mantap'],positif,positif,positif,positif
Anim latif,12/15/2024,5,"Aplikasi bagus, sangat membantu saya dalam melihat kondisi cuaca di daerah bila saya dalam perjalanan utk persiapan",aplikasi bagus sangat bantu saya dalam lihat kondisi cuaca daerah bila saya dalam jalan utk siap,"['aplikasi', 'bagus', 'sangat', 'bantu', 'saya', 'dalam', 'lihat', 'kondisi', 'cuaca', 'daerah', 'bila', 'saya', 'dalam', 'jalan', 'utk', 'siap']",positif,positif,positif,positif
Jefri Au,3/23/2024,5,Bisa gak bmkg memberi informasi gempa bumi sebelum terjadi?,bisa gak bmkg beri informasi gempa bumi belum jadi,"['bisa', 'gak', 'bmkg', 'beri', 'informasi', 'gempa', 'bumi', 'belum', 'jadi']",positif,positif,negatif,negatif
Padma Jaya,5/19/2023,2,makin kesini bug terus !!,makin kesini bug terus,"['makin', 'kesini', 'bug', 'terus']",negatif,positif,positif,positif
Realme C153,2/9/2025,2,Datanya tidak akurat.diperkiraan cuaca hnya berawan sedangkan dilapangan sdh hujan sngt deras tapi ngga diperbarui perkiraan cuaca nya,data tidak akuratdiperkiraan cuaca hnya awan sedang lapang sdh hujan sngt deras tapi ngga baru kira cuaca nya,"['data', 'tidak', 'akuratdiperkiraan', 'cuaca', 'hnya', 'awan', 'sedang', 'lapang', 'sdh', 'hujan', 'sngt', 'deras', 'tapi', 'ngga', 'baru', 'kira', 'cuaca', 'nya']",negatif,negatif,netral,positif
tony arianto,4/28/2023,5,mantap,mantap,['mantap'],positif,positif,positif,positif
Cepi Sumantri,1/28/2023,1,"kok malah tambah jelek updatetannya, bagusan yg belum di update simple",kok malah tambah jelek updatetannya bagus yg belum update simple,"['kok', 'malah', 'tambah', 'jelek', 'updatetannya', 'bagus', 'yg', 'belum', 'update', 'simple']",negatif,negatif,netral,positif
Jalan Jalan Sore,3/22/2024,5,Bagis,bagis,['bagis'],positif,positif,positif,positif
Karsimah Ah,11/23/2022,4,Bagus,bagus,['bagus'],positif,positif,positif,positif
Sekar Kanthil 5758,1/31/2025,4,"Update terakhir kok mau buka info citra satelit jadi susah, jg menu lainnya. Awal saya kira karena kapasitas memori HP, setelah hpus beberapa aplikasi dan memori penyimpanan hasilnya kok sama. Mohon pembaharuan aplikasi ttp memperhatikan bagaimana agar semua gadged ttp bisa support, terimakasih.",update akhir kok mau buka info citra satelit jadi susah jg menu lain awal saya kira karena kapasitas memori hp telah hpus beberapa aplikasi memori simpan hasil kok sama mohon baharu aplikasi ttp perhati bagaimana agar semua gadged ttp bisa support terimakasih,"['update', 'akhir', 'kok', 'mau', 'buka', 'info', 'citra', 'satelit', 'jadi', 'susah', 'jg', 'menu', 'lain', 'awal', 'saya', 'kira', 'karena', 'kapasitas', 'memori', 'hp', 'telah', 'hpus', 'beberapa', 'aplikasi', 'memori', 'simpan', 'hasil', 'kok', 'sama', 'mohon', 'baharu', 'aplikasi', 'ttp', 'perhati', 'bagaimana', 'agar', 'semua', 'gadged', 'ttp', 'bisa', 'support', 'terimakasih']",positif,negatif,positif,negatif
Koko Iskandar,12/10/2024,5,Apk nya sangat berguna dan membantu,apk nya sangat guna bantu,"['apk', 'nya', 'sangat', 'guna', 'bantu']",positif,positif,positif,positif
purna nugraha,3/21/2024,5,Informatif & mudah digunakan,informatif mudah guna,"['informatif', 'mudah', 'guna']",positif,positif,positif,positif
Bangbang Kuncoro hadi (Bams),1/28/2023,5,Infomasi yang bermanfaat,infomasi manfaat,"['infomasi', 'manfaat']",positif,positif,netral,positif
