Username,Tanggal,Bintang,Komentar
Supandi Riski,2024-08-21,5,Pas
Indi Sahindi,2024-08-21,4,belum masuk di branda
Iwan Nazary,2024-08-21,5,Sangat membantu utk informasi cuaca dan gempa
Penx Iis,2024-08-21,5,Pemberitahuan nya lebih lambat dari kejadian.. seharus nya pemberitahuan dulu supaya kita bisa waspada
GROSSERO,2024-08-20,5,Ok
Arya AriaWati,2024-08-20,5,semoga lebih membantu
Muhammad ihsan khoerul azzam,2024-08-20,5,Bagus
Darman nak bungsel,2024-08-20,5,Ya membantu sekali untuk masyarakat Indonesia buat kalian Jan lupa di donlod ya
Ikhzal,2024-08-20,3,Untuk aplikasi WRS-BMKG tolong di update Fitur umpan balik tidak bisa di akses
lie tono,2024-08-20,5,Aplikasi yang bagus
Ahmad Febrianto,2024-08-19,5,siapa yg download bmkg karena khawatir ama gempa megatrusht
Muhammad Rifkyatama,2024-08-19,5,Hhe
Juni Irwansyah Juni,2024-08-19,5,apk yg sangat membantu tapi hanya sedikit org yang tau
Muhammad Syaefuddin,2024-08-19,4,bagus
Paktres 0877,2024-08-19,5,"Aplikasinya sangat bermanfaat, tolong ya dibuat cocok di hp android apapun, soalnya banyak aplikasi sekarang yg tidak suport di hp android jadul"
Deky S,2024-08-18,5,Bagus tapi di perbagus lgi
Bain 1034,2024-08-18,5,semoga bisa membantu perkembangan tentang cuaca dan gempa bumi yg akan terjadi di daerah sendiri...👍🏻
Blackseed Acount,2024-08-18,5,Baru tau ada aplikasi ini... Thanks kamar jery... Sekarang kalau ada gempa lagi di rumah bisa tau tanpa menunggu update story orang orang di wa...
Sani Rajab,2024-08-18,5,Oke punya
Hanifa Dwi2006,2024-08-18,5,Sangat membantu
Lily Pelupessy,2024-08-18,5,Membantu dalam mengetahui situadi gempa di sekitar kita.
sempak 01 Jr,2024-08-18,5,Nice
Alirman Alirman,2024-08-18,5,Baik
Abd salam Alam,2024-08-18,3,Sangat baik
Aa muhammad maulana,2024-08-18,3,"Mohon tambahkan sistem peringatan sebelum gempa bumi seperti Jepang,bagi yang terdampak"
Taufik Taufikfatkurahman,2024-08-17,5,Aplikasinya bagus nih
A. Fadli Rahman A.,2024-08-17,4,"Setiap ada gempa, notifikasinya ada 2, tolong bisa tidak notifikasinya 1 kali saja, terima kasih"
Eman Suganti,2024-08-17,5,Info yg terbaik dan terpenting
Izuna Hankee,2024-08-17,4,"Tolong kepada pihak BMKG untuk pemberitahuan terkait GEMPA sebaiknya di tiadakan, jujur kami yg dari lombok merasakan ketakutan dari berita tersebut,kami kembali trauma lagi,sebaikan beritakan tentang cuaca saja,untuk gempa sebaiknya tidak"
Cegil Virtzl,2024-08-17,5,Okkk
Elsa Padang sesa,2024-08-17,5,Sangat membantu
Bagus Setiawan,2024-08-17,5,"Aplikasinya bagus, cuma Cara seting suara notif kalo ada gempa gimna ya,,,"
Istiroh,2024-08-16,4,Bagus dan membantu
ajwa 20inayah,2024-08-16,5,Berguna
Erika 7,2024-08-16,5,Aku berharap sangat bisa bermanfaat ya
Samsudin,2024-08-16,5,Sangat membantu
Fedri Hidayat,2024-08-16,1,Gak real-time
ZIDAN A,2024-08-16,5,Aplikasi sangat berguna 👍👍👍
Putu Kartika yasa,2024-08-16,5,Makasih banyak
Anindya Pramatya,2024-08-16,5,Plis aku takut bgt katanya ada gempa jadi aku download ini
Irzan,2024-08-16,5,Sangat berguna
Arya Fatah maulana,2024-08-16,5,"Sangat membantu untung mencari informasi terkini, terutama cuaca"
Muhammad Raven Febrian,2024-08-15,3,Update lagi fiturnya kayak di jepang sesuai lokasi supaya kalo ada gempa yang lebih dekat agar di munculkan notifikasi yang lebih oke seperti muncul di layar dan suara notif yang besar
Sapar Wadi,2024-08-15,1,Kenapa tak bisa digunakan / terpakai
Muhardi Hal,2024-08-15,5,Mantap
ANGGA AGUSTIAWAN,2024-08-15,5,YA Allah lindungi kami
Titin Ilu,2024-08-15,5,aplikasi ini sangat bagus dan berguna
Brams sono,2024-08-15,1,"Gabisa dibukaa, stuck di logo aja😡"
Cahyo Hudi Prayugo Cahyo.09-12-1996,2024-08-15,5,Sangat membantu sekali
Yayu Setianingsih,2024-08-15,3,loading banget y ampun di buka ny lama bangetttttt
Suhra Sura,2024-08-15,4,Berguna banget
Mas Riyan,2024-08-15,5,Kenapa gempah bumi allahuakbar
Hasya Filza Maulida,2024-08-15,5,"Aplikasi bagus,dan bijak"
Ismy Nurlaela,2024-08-15,5,Goood
Vini Paliling,2024-08-15,5,👍👍👍👍
Naufal zahraan,2024-08-15,5,"Aplikasi BMKG ini sangat bagus,hanya saja tidak ada peringatan dini gempa bumi/tsunami 😄😄😄"
Hitori,2024-08-15,5,Klo bisa tambahin fitur buat tanya tanya semisal kita ingin tahu hal yang harus dilakukan saat bencana karna fitur ini akan sangat membantu
Naila Novianti,2024-08-15,5,ini penting sih
Bahrudin udin,2024-08-15,3,tolong kasih notif alarm bunyi yg keras jika terjadi gempa / stunami kaya orang jepang pas ada bencana otomatis semua orang dapet notif alarm bencana takutnya bencana nya tengah malem orang lagi tidur gak tahu
Albertus Wibisono,2024-08-15,5,Sangat membantu dalam memperoleh informasi
Muhamad Fardan,2024-08-15,5,Ini Bagus
Samuel Daan,2024-08-15,5,Sangat membantu
M. Ashari,2024-08-14,5,"Semoga megathrust yg di prediksi tidak berdampak buruk, dan semoga kita semua selalu dalam lindungan Tuhan yg Maha Esa. Aamiiin Ya Robbal'alamin."
Sai Fani,2024-08-14,5,Pesan dari saya mohon dari aplikasi BMKG jika bisa dibuatkan riwayat terjadinya fenomena alam ... Terima kasih banyak developer
Plentin hamonangan Siahaan,2024-08-14,5,testimoni dulu yh
Harvest44 gaming,2024-08-14,5,Disuruh download sama vtuber PNS
Hari Sucahyo,2024-08-14,5,Akurat sebagai informasi yg diperlukan oleh masyarakat
Luxci Aditama,2024-08-14,4,kesini gara2 ada berita mau ada gempa
Herry Kurniawan,2024-08-14,1,Tidak bisa masuk ke aplikasi suhu hp langsung naik ketika buka app ini
kiral adindra,2024-08-14,5,jumlah rakyat Indonesia ada 200juta lebih aplikasi ini penting karna Indonesia rawan bencana harusnya min ada 50juta org yg download aplikasi ini
mashuril Gaming,2024-08-14,4,Bagusssssss
salwa salsabila,2024-08-14,5,Digunakan untuk persiapan gempa megathrust 😣
Engkos,2024-08-14,1,Kapan sih ada shake alarm seperti di jepang pas terjadi gempa langsung berdering alarmnya
azzam fahreza,2024-08-14,4,bagus tapi waktu sore dibilang bakal hujan tapi gak hujan?
Vani Ananta Dekaulan Br Sitepu,2024-08-14,4,"Aplikasinya bagus. tapi, gak ada notifikasi bahaya ketika gempa ataupun tsunami. kalu bisa aplikasinya standart nya sama lah seperti jepang."
Kai Zekke,2024-08-13,5,Good
KY Art,2024-08-13,3,"Ada baiknya di tambahkan alarm EWS pada aplikasi, jadi buat yg sudah menginstal bisa mendapatkan sinyal sebelum terjadinya bencana, seperti di Jepang , alarm sudah menyala, walaupun belum terjadi Gempa. Alangkah baiknya menambahkan EWS di aplikasi ini, karena sekarang mayoritas orang Indonesia lebih sering memegang Smartphone daripada menonton TV."
Sabar Sabar,2024-08-13,1,Kenapa sekarang tidak bisa dibuka 🤔
Van. Arifie,2024-08-13,2,Lama lama kok malah menurun ada gempa bumi GK muncul dan kalok muncul luamaaaa GK kayak dulu yg cepat beberapa detik muncul.... Tolong pentingkan informasi dan keselamatan masyarakat....
Yayan Oni,2024-08-13,1,SUDAH GEMPA BERITANYA BARU NONGOL!!
Nanang Eko heri,2024-08-12,5,T o p
Fikri Muhamad fikri,2024-08-10,5,Aplikasi bagus banget mantap berguna untuk melihat mendeteksi gempa bumi
Black Swan Minari,2024-08-09,5,"kalo bukan karena vtuber, aku malas untuk unduh aplikasinya. hmmpphh."
Dwi Setya Budi Wiharsa,2024-08-08,5,Sangat membantu sekali...
Rizky T.H,2024-08-08,4,"Aplikasi bagus,tapi kenapa BMKG.Gowa undurkan diri?, tolong jelaskan 🙏"
EDWARD STANERD,2024-08-08,5,Saya senang lihat pertumbuhan awan hujan dari citra satelit
David Christianm,2024-08-07,4,Good
ridwan hasanudin,2024-08-07,5,Top
Fahmi Aziz,2024-08-07,5,Bermanfaat
Zaenal Moenir,2024-08-06,5,Good
EDWINE PRATIGNYO,2024-08-04,5,Sangat bermanfaat
First Officer Hasim Firdaus,2024-08-04,5,Akan ku unduh demi waifu baru... 😋
Rezky Amelia,2024-08-03,2,Mau ngecek kualitas udara di daerah sendiri malah gabisa. Berkali2 coba klik tp cuma ngeloading aja.
Wawan Sadiawan,2024-08-02,5,Bagus
Spegri384,2024-08-02,3,Bagus
Steven Simatupang,2024-08-02,5,aplikasi yang sungguh sempurna di infokan di apl tersebut sore hujan ternyata muncul hujan!!!!!!
Simon Mairapea,2024-08-02,5,SAYA SETUJU DENGAN POSTINGAN INI
Irfan Irfan,2024-08-01,5,Aplikasi bagus
Andi Surahman,2024-08-01,5,👍
Andre Pancin,2024-07-31,5,Mantap dan bagus
Lek Priyo11,2024-07-31,5,"Sangat membantu, terimakasih developer, maju terus semakin baik kedepannya."
Alien,2024-07-31,5,Tolong tambahkan fitur widget supaya bisa di tampilkan di beranda
Ismail Marzuki,2024-07-31,1,Tidak akurat cuaca hujan
rohman Fadhll,2024-07-29,5,Berguna👍👍👍
Prostek Media,2024-07-29,5,Download aplikasi ini karena disuruh Shinna ☺
Jafet Tatontos,2024-07-28,5,👍👍
Daeng Kama,2024-07-28,5,mantap akurat dan tepat
Ghozali Ishaq,2024-07-28,5,Gw kesini karena shinna wkwk
velskud medea,2024-07-26,5,The best aplikasi se Indonesia belum lagi maskotnya vtuber
Sunar di,2024-07-25,3,"Kurang akurat, masa angin dari selatan tenggara katanya dari timur laut"
Ibethku 2210,2024-07-23,5,Bagus
Ahmad Latif23,2024-07-22,5,"Mantaaaaaaappp, memuaskan 👍👍👍"
Agus Rachman,2024-07-19,5,Informasi sangat akurat
Dewi Ayu Ningsih,2024-07-19,4,Info ini luar biasa ada bencana alam seperti gempa atau lainnya
Desain Rumah,2024-07-17,1,Ga ada widgetnya 😭 padahan penting banget biar ga ribet buka aplikasi tinggal cek di layar depan.
Pengguna Google,2024-07-17,5,Bagus
Khotimah Khusnul,2024-07-16,4,"Bisa mendeteksi gempa bumi, namun kadang-kadang tdk terdeteksi. Seperti gempa kemarin di batang, barusan di batang dan Wonosobo. Padahal saya lihat di laman BMKG fb ada gempa susulan . Di aplikasi ini gak muncul Mohon untuk ditingkatkan lagi Terimakasih"
RISKY QyQy,2024-07-16,4,di tingkatkan lagi
Adrian Fadli,2024-07-16,5,Thanks BMKG
Rahyang Sono,2024-07-15,5,"Ok ,, terimakasih"
Bobby Brown,2024-07-15,5,Ok terima kasih
Sutambah,2024-07-15,5,Bagus tingkatkan lagi
Ahmad Jaiz,2024-07-14,1,"Kurang akurat menurut saya, karena saya tinggal di ketinggian 2000mdpl dan udah memasuki musim dingin. Kenapa di aplikasi ini menunjukkan suhu di angka 29⁰ di malam hari wkwkwk."
Asmaur Rohman,2024-07-13,5,Bagus dan akurat lumyan
Ken tamara,2024-07-12,2,Tolong lebih akurat lagi untuk info cuacanya... Harus lebih tepat untuk update cuacanya.. Ini sangat penting untuk kami yang berprofesi sebagai nelayan.
Mayy Doo,2024-07-11,5,"Hmm cukup informatif, semoga update kedepannya ada penambahan widget"
Nur Dayat,2024-07-11,5,Info yg sangat berguna bagi masyarakat banyak
Moch Arif,2024-07-11,5,Sangat membantu sekali aplikasi ini untuk menganalisis pola sebaran gempa...
Andre New,2024-07-11,5,Bagus
Bobon Abdul Saepudin,2024-07-11,5,Trimakasih bagus
I Nyoman Siang,2024-07-11,5,👍👍👍
Antung Soepriyadi,2024-07-11,5,Cukup membantu disetiap perjalanan saya 🙏🏽
William Alphy,2024-07-11,5,Sangat membantu
abdillahkukubani. abdillahkukubani.,2024-07-11,5,Bagus👍👍
Junaidi Oemar,2024-07-11,5,Sangat membantu
Ferri Susiyana,2024-07-10,5,👍👍👍👍GOog
Riyan kuryana,2024-07-10,5,info
M Ikhsan,2024-07-10,5,Sangat membantu dalam memberikan informasi
Rahman Markalem,2024-07-10,2,Perlu di update yg lebih maju lagi
Cik Aspar,2024-07-10,5,Sangat membantu untuk perencanaan aktifitas
Ras Idi,2024-07-09,5,Aplikasi BMKG membantu
ATHAAVATAR,2024-07-09,4,Berguna banget kalo ada bencana
Ahmad adi wahyudi,2024-07-09,5,"Bagus,sllu update info"
Muhammad Okka,2024-07-09,3,Sering mbereset
SURYA DARMA,2024-07-09,5,Ok
Ahmad Tiar lubis,2024-07-09,5,"membantu, walaupun kadang sedikit kurang akurat."
abdulrahman amf,2024-07-09,5,"Aplikasi Sangat bagus, bermanfaat bagi saya pemancing laut"
Risma Jelita,2024-07-09,5,Bagus
Oudhient Whoseen,2024-07-09,5,Good n uptodate
Alm19,2024-07-08,5,Aplikasi yang harus disebarluaskan ke masyarakat. Penjelasan tentang bencana jelas dan cepat. Prakiraan cuaca juga rutin di daerah dan sekitar. Berita kegiatan terbaru juga ada
Joni Mustopa (Oni),2024-07-08,5,Mantull
aas garhasih,2024-07-06,4,Semoga guna dan manfaat bagi kita semua
Azha Devan,2024-07-06,5,Bagus
rinal al ghafani,2024-07-05,5,Kklo ada widget pasti lebih bagus
cahyampw,2024-07-04,5,Sangat bermanfaat bagi para pendaki dan yang suka kegiatan outdoor
fajar dwiyanto,2024-07-04,2,"Aplikasi saat dibuka pasti force close, lama loading tingkatkan lagi"
BuDi Mas budi,2024-07-03,4,Ok
kaka,2024-07-02,1,"Parah jelek prediksi cuacanya tdak akurat, tdk cepat update tentang gempa, apk nya tdk sbgus dlu jangan di download."
Melyus Kurnalis,2024-07-02,5,👍👍👍
Sayyid Ahmad Rulliandi,2024-07-01,5,Sangat membantu saya di dalam mengamalkan ilmu perbincangan.
Edi Susanto,2024-06-28,3,"Payah gps nya sangat tidak akurat, masak saya di pulau menui ketika diaktifkan gps nya jadi di wawonii Jadi prakiraan cuacanya tidak tepat"
Ahmad Setiaji,2024-06-27,5,Terimakasih BMKG
Fendi Efen,2024-06-25,5,"Aplikasi ini penting sekali untuk mengetahui perkiraan cuaca kusus di daerah kita sendiri,ups semoga aplikasinya bagus terus."
Setya,2024-06-24,5,Aplikasi paling waras dan paling berguna oleh pemerintah cuma ini doang.....
Eka Siappa batu,2024-06-23,5,Mantap
Noiish,2024-06-23,1,"Aplikasi sampah, tidak bisa di bukak"
Danto Pranoto,2024-06-22,1,"Saya klik pakai gps malah terdeteksi lokasi di Mantrijeron padahal saya tinggal di daerah Mlati, jauh banget dan pas jualan sunmor di dekat fakultas peternakan ugm titiknya malah di ringroad Utara"
zdan16 Wy,2024-06-21,5,zidane
Lim Steven,2024-06-20,5,Hebat sekali
eko_raihan apriaga,2024-06-20,4,Sangat membantu
agi wahyudi,2024-06-19,3,"enak yang dulu, ga banyak feature, lebih mudah."
Ace Darmawan,2024-06-19,5,Sangat membantu
irwan PRYATNA.SSI,2024-06-15,5,OK lah👍👍
PAK TUA,2024-06-15,5,Bagus
air matcha buaya,2024-06-15,1,"aplikasi ga jelas ramalan cuacanya klaim 90% akurat tapi yg sering terjadi malah 10% alias ga akurat, sama aja kayak aplikasi bawaan oppo yg gajelas kirain lebih bagus, peringatan akan hujan lebat jam 14.30 notifikasinya muncul jam 4 🤡🤡🤡🤡... Apa gunanya? Uninstalling this app 👎"
Xtrail Fordj (Thamrin saputra),2024-06-12,5,Ok bagus
zdam 16 Wh,2024-06-11,5,Zidane
Anher Yusriy,2024-06-10,1,Coba di udate lagi aplikasinya soalnya insfo tinggi gelombang laut tidak ada
Rudi Alfitra,2024-06-09,3,Untuk daerah sumbar lama banget keluar info gempanya..keseringan info ug diluar sumbar
Setyo'adhi Putra,2024-06-07,1,"ini kenapa ga bisa dibuka aplikasi nya? malah ngestuck, jaringan bagus lancar. buka ini malah kaya berat bgt."
dear gresy,2024-06-07,5,Bagus aplikasi nya bisa megetahui gampa
H2UaN2 Aa,2024-06-07,3,Tidak akurat tentang cuaca
Fajar Purwanto,2024-06-04,5,Ke sini gegara admin stageof.gowa wkwkk naik ini gaji nya min :v
Aguz Ajret,2024-06-02,5,Ok
Dian Zafran,2024-06-01,5,Baik
Moh Jawahir,2024-06-01,5,Mantaf
Riska Lestari,2024-05-31,5,Suka mendengar info
Ai leo,2024-05-29,5,Bagus
•fajar Maulana•,2024-05-29,5,Disuruh download sama Atmin BMKG stage of Gowa 😁
Gundala Tiger,2024-05-28,5,Sangat membantu sekali 👍👍👍
Andreas Yoga,2024-05-28,5,"Informasinya sangat up-to-date, semoga bisa terus improve"
tutus fajar,2024-05-26,5,Cukup lumayan informatif.. Semoga makin mantaaabbb
Emanq Sinta,2024-05-26,5,Mantaap!!
Syncron Syncronus,2024-05-26,4,"Aplikasi yg cukup membantu untuk dapat info bencana, cuaca, dan kualitas udara. Yg kurang hanya informasi real time bila terjadi gempa butuh waktu delay sekitar 20 menit dari waktu kejadian. Moga bisa ditingkatkan untuk waktu informasi gempanya seperti di Jepang yg bisa beri informasi darurat semenit sebelum gempa terjadi"
Haycel Muhammad Rafly,2024-05-26,1,"Beberapa menit yang lalu gempa di sumbar, tp aplikasi tidak ada memberikan info juga di sosmed"
Sense,2024-05-24,5,Sangat Bagus 👍
Mujianto,2024-05-23,3,Saran lebih baik pake yang versi web nya
Asila Illa,2024-05-22,4,Aplikasi ini sangat berguna untuk mengetahui dimna gempa.
Anggna Syahptra,2024-05-21,5,MANTAP
Lukman hadi Hadi,2024-05-21,5,Ok
Agus Siswanto,2024-05-21,5,App....
Dede Solihah,2024-05-20,5,"Aplikasinya sudah sangat bagus bisa tahu kapan terjadinya gempa ,semoga kedepan nya lebih bagus lagi dan banyak fitur yang lain yang bermanfaat lagi ... semoga ada alaram sebelum gempa terjadi juga biar persiapan .. 🙂🙂🙂"
Fadil Arofi,2024-05-20,5,gempa ya panawangan
Anissa Shafarillah,2024-05-17,5,Bagus tapi informasi nya terlbat
Sarah Ayudia,2024-05-17,1,Tertulis cuaca cerah setu tangsel jam 3 sore tgl 17 mei 2024 ternyata hujan. Apk bmkg tolol.
Septian Hiuuga,2024-05-17,4,"Setelah update notifikasi cuaca buruk malah di hilangkan, sisa notifikasi gempa gak bener"
Aisha Azkia,2024-05-16,4,"aplikasi udah bagus, tapi coba di ubah lagi seperti di Jepang. Sebelum gempa udah ada sirine untuk semua harus keluar dari dalam rumah, atau gak bisalah pas gempa langsung bunyi itu peringatannya.Mungkin bisa membantu saat gempa pas tengah malam, smoga ada peningkatannya🙏, u*ng 271 T pdahal cukup loh buat yg gini"
Feri degel981,2024-05-15,5,Bagus
Yudhistira Nugraha,2024-05-15,5,Sangat berguna untuk kita semua
Adi Untung,2024-05-14,1,Terlambat Pemberitahuan nya
handi halim,2024-05-14,3,Tolong dalam notifikasi dikasih info dekat pulau besar mana. Tidak semua orang hapal nama kota atau desa terpencil. Ini bukan tebak kuis one millioner
Ipang Zhivan,2024-05-13,5,Info nya benar
januarius nahak,2024-05-13,5,Sangat bermanfaat sekali
Ahmad Rifai,2024-05-12,5,Info BMKG Aplikasi Terbaik 💯
Temonhokimoto@gmail.com Hokimoto,2024-05-11,5,Aplikasi yang sangat-sangat berguna untuk mendapatkan informasi apa yang terjadi ada gempa sangat-sangat berguna sekali
Dedelight Halim,2024-05-11,4,"Fiturnya sih lumayan,tumben pemerintah bikin aplikasi seniat ini."
ratex inter,2024-05-10,5,Berguna yang sering travel
Fanselepet,2024-05-10,2,"Bmkg bego lelet amat ngasih info gempa lebih setengah jam blm keluar notifikasi gempa nya ,bego"
Oppo Solo,2024-05-09,1,Iaut selatan jawa tenga.
faklox,2024-05-09,5,Makasih bmkg kalau ujan lihat apk ni kalau ada bencana langsung siap siaga
Ujang Nanang,2024-05-09,5,Lebih akurat
Sleepy Cat,2024-05-08,5,terimakasih atas kerja keras kalian🙏🏻💐 mohon agar aplikasi selalu ditingkatkan ya kak 🧚🏻‍♀️ 😊 tolong tambahkan fitur setting notifnya.. di hp sy ng bunyi notifnya 🙏🏻
Way Way,2024-05-07,5,Aplikasi is the bas
Rahman Hakim,2024-05-07,5,Bagus
Maya Dwiantisa,2024-05-07,5,Bagus sih bisa liat cuaca dan gempa
Cantika27,2024-05-07,1,ngebug bejir baru aja download
MAMAS AL FARIZ,2024-05-07,3,Tolong untuk dikasih pemberitahuan secara real-time di notifikasi android supaya tau. Tidak usah membuka aplikasi
Hari Suwanto,2024-05-07,5,Memberikan informasi ter update tentang gempa
Dody Prasetyo,2024-05-06,4,Tambahkan alarm peringatan untuk mendeteksi adanya gempa
Sugiharto Sugik,2024-05-05,5,Sy suka aplikasi ini lebih cepat mengetahui keadaan diluar daerah sy trimakasih
Rian Amelia,2024-05-05,5,"Apk nya sebenernya bagus, cuma notif nya agak telat, Agak kaget juga sih tiap jam pasti ada gempa"
Selebes Jpt,2024-05-04,5,Aplikasinya okey mantap 👍
nuralisha aqila,2024-05-01,5,Sangat membantu
Agung Pramudya.,2024-05-01,5,Mantap betul.
Odhe kelu,2024-05-01,5,Aplikasinya bagus sangat membantu
Shandy F,2024-05-01,4,"Kebuka nya lama banget, kadang force close, optimalkan lagi ya min buat di android 14"
Ani Sumarni,2024-05-01,2,Update gempa nya lama bgt lebih dari 10 menit
Erna Nopitasari,2024-05-01,1,"Boro-boro kaya korea ada peringatan dini, inimah gempa udah lama baru muncul notif, duh konoha"
Faqih Izzulhaq,2024-04-30,5,"Sangat bermanfaat, dan akan lebih baik lagi kalau dibuatkan fitur widget agar lebih mudah melihat informasi terupdate"
Mey Zii Pey,2024-04-29,3,"Di harap kan App ini bisa menjadi tanda alarm saat tr deteksi gempa atau tsunami, jadi saat tidur dia bisa bunyi Berguna buat yg tidur nya kya bruang madu"
Heri Her,2024-04-29,5,Bagus banget sangat membantu saya
La ode Wahyudin,2024-04-29,5,Sangat membantu sy sbg nelayan
Khanif Udin,2024-04-28,5,oke
Nur Janah,2024-04-28,4,Baik
Ijal Lutfi,2024-04-28,5,Sangatt membantu sekali...
Maryani Neng,2024-04-28,5,Aplikasi ini sangat bagus bahkan ada gempa bumi hari Sabtu dan aplikasi yang mencari kecamatannya dan prakiraan cuaca lagi sangat bagus
Yudi Setiawan,2024-04-28,5,Awalnya aku ragu dengan aplikasi in... tpi setelah aku coba ternyata sangat berguna sekarang aku jadi tau dimana lokasi kejadiannya gempa..mantul..👍👍👍
GUNALA 12,2024-04-28,5,"MIN TAMBAHIN ALARM GEMPA KAYAK DIJEPANG, ANTI SIPASI DARI MASYARAKAT MEREKA GERCEP UNTUK MENYELAMATKAN DIRI"
ARKAN RAUSYAN ASHSHIDDIQ,2024-04-28,5,Aplikasi ini sangat bagus sekali
Rori Manik,2024-04-28,5,aplikasi yg bagus
Dela Adel,2024-04-28,4,seharusnya info sblm terjadi. 1 menit sblm terjadi. Ini malah setelah terjadi setelah 2 menit Tolong update kedepannya seperti itu
Aldi Saputra,2024-04-28,5,"Seharusnya kalau ada gempa/tsunami di aplikasi ini ada peringatan gempa seperti mendapatkan notifikasi peringatan semua ponsel , Jadi bisa waspada."
Frozz sj,2024-04-28,5,Melihat info
Dias Indra,2024-04-27,4,"Kurang update notifikasi nya, contoh gempa jam 11.30, notifikasi baru muncul jam 11.50, padahal internet lancar, dan kadang notifikasi nya numpuk."
Hermansyah 2M,2024-04-27,5,Coba kasih fitur peringatan alarm ketika ada Gempa sehingga mengurangi hal hal yang tidak diinginkan.
N Rahmaw,2024-04-27,5,Pemberitahuan tergolong cepat
Rio 1899,2024-04-27,5,Manfaat 👌
Afifah Nur Aini_13,2024-04-27,4,"Sudah bagus, tapi bisa gk ya kalo peringatannya itu 1-2 menit sebelum terjadi gempa? Karna kadang notifnya telat masuk. Dan jauh lebih baik kalau sudh ada peringatan lebih dahulu untuk evakuasi"
Ardi,2024-04-27,5,"Mohon pihak bmkg tambah fitur peringatan gempa ,atau suara sirine dll yang bisa di atur"
Faisal Nugraha,2024-04-27,5,ok
Ujang Ahmad zaenal,2024-04-27,5,Cukup membantu untuk impormasi bencana daerah dan negara negara lain
Ikhsan Maulana,2024-04-27,5,"Lekas selalu di perbaiki dan di rawat perlengkapan di lapangannya juga ya . Btw sekarang notif dan EWS nya telat parah sumpah diatas 2menit , kok bisa ya?"
Syaiful Rahman,2024-04-27,5,Mantap
Mohammad Nadzri,2024-04-26,1,"Akhir akhir ini infonya tidak tepat, untuk info gempa bumi tunggu sampai 30 menit baru diupdate, mau tahu lokasi dan ukuran gempa yg dirasakan terpaksa harus nanyak di grub fb dan di fb pun belum tentu langsung dapat jawaban. Untuk info cuaca dilokasi lagi cerah panas tapi di aplikasi ditulis saat ini sedang hujan, apalagi untuk perkiraan cuaca yg untuk seminggu gak akurat. Trus apa gunanya aplikasi ini?"
insun insan,2024-04-26,1,Sangat tidak akurat
agus Elias,2024-04-22,5,Sangat membantu memprediksi cuaca setiap harinya
arsyadi acadz,2024-04-22,1,"Haduh prakiraan nya ga akurat..ketika hujan , di aplikasi malah cerah.sebaliknya ketika di aplikasi cerah,,padahal hujan deras..Ni prakiraan cuaca nya kyk aplikasi mainan anak2."
Nayasa Rumah Gadang,2024-04-22,1,"Barusan aja ada gempa, eh ga ada notifikasi. Sekarang udah 10 menit pasca gempa, di aplikasi sama sekali ga kelihatan. Jadi aplikasi ini buat apa? Tutup aja servernya sekalian."
Adinda Naurah,2024-04-22,1,"Please dong, kalau ada gempa, responnya jangan lambat. Kalau bisa h- beberapa jam udah ada notif atau imbauan. Banyak orang yang ngadu kalau ada gempa selalu cek notif dari BMKG tapi gak ada. Setelah terjadi gempa, malah baru muncul notif."
BONO saja,2024-04-21,3,"Saya baru download (21/04/24-jam 07 kurang) awalnya karena penasaran dari ulasan² tentang akurasi wilayah maupun prediksi cuaca. Ternyata benar... Saya di kec. cidadap, kota bandung, tapi dalam pengaturan berbasis GPS, di app.bmkg, perangkat saya masuk di kec. cibeunying kaler. Dalam radar cuaca, lolasi saya malah di purwakarta Padahal akurasi perangkat di google map hanya selisih tidak lebih dari 50-70 meter. Kalau seperti ini, akurasi bmkg tentang data cuacanya bagaimana ? 🤔🤔🤔"
Adi S,2024-04-19,3,"Ketika muncul notifikasi, kita klik tidak langsung buka aplikasinya. Harus manual buka aplikasinya. Peta yang ada jugavperlu upgrade biar lebih detail. Kalau bisa ada pilihan foto satelit juga biar lebih detail."
Agung PS,2024-04-19,5,👍🏻
R̶e̶n̶d̶y̶ D̶M̶X̶,2024-04-17,5,"Sangat membantu, tentang info adanya gempa/cuaca"
Ervan Putra,2024-04-17,5,Aplikasi sangat berguna sekali.. kalau pun ada masalah di aplikasi ny..harap maklum saja lah.. tidak ada yang sempurna di dunia ini..setidak ny sebagai pengguna aplikasi sudah menambah informasi dan sedikit pengetahuan.
MARZUKI AMIN,2024-04-17,5,Terimakasih bisa membantu kita
rie barkah,2024-04-17,5,Informasinya akurat
Rizal Rizal,2024-04-16,5,Aplikasinya sangat bagus Dan berguna
ArBen Alputra,2024-04-16,3,Ramalan cuacanya lumayan akurat. Tapi notifnya kadang cuma muncul 10 menit sebelum hujan. Dan untuk ramalan cuacanya tidak per jam. Per tiga jam. Jadi kadang susah untuk mengetahui ramalan cuaca di jam tertentu. Dan satu lagi ketika mau masuk ke aplikasi loadingnya lama banget kadang malah sampai connection time out. Padahal jaringan lancar dan apk ramalan cuaca lain bisa kebuka
Sang pelautt Pnd,2024-04-15,5,Sangat membantu 👍
Dayay Coffee,2024-04-14,5,Oke bagus 👍
Dedi Suhendro,2024-04-12,5,Sangat membantu
Bervian Sonny,2024-04-10,3,"Gambar maps peringatan dini cuaca nggak bisa di zoom, terlalu kecil"
